region,rok,uczelnie niepubliczne,uczelnie publiczne
DOLNOŚLĄSKIE,2014,0.0,0.0
DOLNOŚLĄSKIE,2015,8756.0,25961.0
DOLNOŚLĄSKIE,2016,7842.0,25616.0
DOLNOŚLĄSKIE,2017,8160.0,26636.0
DOLNOŚLĄSKIE,2018,6492.0,23772.0
DOLNOŚLĄSKIE,2019,7079.0,24157.0
DOLNOŚLĄSKIE,2020,6587.0,22304.0
DOLNOŚLĄSKIE,2021,7963.0,21764.0
DOLNOŚLĄSKIE,2022,8317.0,20698.0
DOLNOŚLĄSKIE,2023,9662.0,19380.0
DOLNOŚLĄSKIE,2024,9590.0,18558.0
KUJAWSKO-POMORSKIE,2014,0.0,0.0
KUJAWSKO-POMORSKIE,2015,5012.0,12578.0
KUJAWSKO-POMORSKIE,2016,4859.0,11352.0
KUJAWSKO-POMORSKIE,2017,5648.0,11437.0
KUJAWSKO-POMORSKIE,2018,4588.0,9649.0
KUJAWSKO-POMORSKIE,2019,4472.0,9457.0
KUJAWSKO-POMORSKIE,2020,4328.0,8104.0
KUJAWSKO-POMORSKIE,2021,4510.0,8185.0
KUJAWSKO-POMORSKIE,2022,4276.0,7799.0
KUJAWSKO-POMORSKIE,2023,5154.0,7672.0
KUJAWSKO-POMORSKIE,2024,5089.0,7205.0
LUBELSKIE,2014,0.0,0.0
LUBELSKIE,2015,7406.0,15294.0
LUBELSKIE,2016,6050.0,14607.0
LUBELSKIE,2017,5831.0,15374.0
LUBELSKIE,2018,4955.0,13953.0
LUBELSKIE,2019,5308.0,12936.0
LUBELSKIE,2020,4934.0,12187.0
LUBELSKIE,2021,5143.0,12304.0
LUBELSKIE,2022,5349.0,12326.0
LUBELSKIE,2023,5350.0,11789.0
LUBELSKIE,2024,5867.0,11279.0
LUBUSKIE,2014,0.0,0.0
LUBUSKIE,2015,252.0,4569.0
LUBUSKIE,2016,122.0,4130.0
LUBUSKIE,2017,159.0,3785.0
LUBUSKIE,2018,156.0,3020.0
LUBUSKIE,2019,97.0,2992.0
LUBUSKIE,2020,148.0,2932.0
LUBUSKIE,2021,130.0,2718.0
LUBUSKIE,2022,173.0,2709.0
LUBUSKIE,2023,176.0,2710.0
LUBUSKIE,2024,156.0,2551.0
MAZOWIECKIE,2014,0.0,0.0
MAZOWIECKIE,2015,24921.0,45402.0
MAZOWIECKIE,2016,22504.0,44121.0
MAZOWIECKIE,2017,22017.0,48316.0
MAZOWIECKIE,2018,19201.0,41594.0
MAZOWIECKIE,2019,17793.0,40465.0
MAZOWIECKIE,2020,18871.0,37119.0
MAZOWIECKIE,2021,21253.0,36449.0
MAZOWIECKIE,2022,22716.0,32988.0
MAZOWIECKIE,2023,24085.0,32172.0
MAZOWIECKIE,2024,27383.0,31296.0
MAŁOPOLSKIE,2014,0.0,0.0
MAŁOPOLSKIE,2015,9246.0,41112.0
MAŁOPOLSKIE,2016,7210.0,41382.0
MAŁOPOLSKIE,2017,7089.0,46592.0
MAŁOPOLSKIE,2018,5853.0,37721.0
MAŁOPOLSKIE,2019,5321.0,35625.0
MAŁOPOLSKIE,2020,5239.0,31469.0
MAŁOPOLSKIE,2021,6006.0,31638.0
MAŁOPOLSKIE,2022,6249.0,30667.0
MAŁOPOLSKIE,2023,6988.0,29842.0
MAŁOPOLSKIE,2024,7349.0,29280.0
OPOLSKIE,2014,0.0,0.0
OPOLSKIE,2015,1747.0,6677.0
OPOLSKIE,2016,1561.0,5828.0
OPOLSKIE,2017,1518.0,6197.0
OPOLSKIE,2018,1260.0,4788.0
OPOLSKIE,2019,1088.0,4646.0
OPOLSKIE,2020,1213.0,3929.0
OPOLSKIE,2021,1352.0,4033.0
OPOLSKIE,2022,1376.0,4143.0
OPOLSKIE,2023,1383.0,3636.0
OPOLSKIE,2024,1438.0,3626.0
PODKARPACKIE,2014,0.0,0.0
PODKARPACKIE,2015,5518.0,13452.0
PODKARPACKIE,2016,4735.0,13283.0
PODKARPACKIE,2017,4148.0,12532.0
PODKARPACKIE,2018,3457.0,11360.0
PODKARPACKIE,2019,3021.0,11024.0
PODKARPACKIE,2020,2698.0,10665.0
PODKARPACKIE,2021,2752.0,10481.0
PODKARPACKIE,2022,3107.0,10202.0
PODKARPACKIE,2023,2774.0,9605.0
PODKARPACKIE,2024,2809.0,9258.0
PODLASKIE,2014,0.0,0.0
PODLASKIE,2015,2314.0,8541.0
PODLASKIE,2016,1567.0,7859.0
PODLASKIE,2017,1569.0,8422.0
PODLASKIE,2018,1045.0,7848.0
PODLASKIE,2019,1064.0,7319.0
PODLASKIE,2020,1282.0,6573.0
PODLASKIE,2021,1024.0,6309.0
PODLASKIE,2022,1051.0,5957.0
PODLASKIE,2023,1445.0,5986.0
PODLASKIE,2024,1180.0,5968.0
POMORSKIE,2014,0.0,0.0
POMORSKIE,2015,6543.0,17884.0
POMORSKIE,2016,5971.0,17387.0
POMORSKIE,2017,6393.0,19801.0
POMORSKIE,2018,5768.0,15886.0
POMORSKIE,2019,5936.0,15371.0
POMORSKIE,2020,6133.0,14186.0
POMORSKIE,2021,6098.0,14123.0
POMORSKIE,2022,6953.0,13066.0
POMORSKIE,2023,8370.0,12513.0
POMORSKIE,2024,8781.0,12069.0
WARMIŃSKO-MAZURSKIE,2014,0.0,0.0
WARMIŃSKO-MAZURSKIE,2015,1956.0,8258.0
WARMIŃSKO-MAZURSKIE,2016,1514.0,7671.0
WARMIŃSKO-MAZURSKIE,2017,1623.0,7952.0
WARMIŃSKO-MAZURSKIE,2018,1492.0,6770.0
WARMIŃSKO-MAZURSKIE,2019,1256.0,6484.0
WARMIŃSKO-MAZURSKIE,2020,1527.0,6024.0
WARMIŃSKO-MAZURSKIE,2021,1302.0,5735.0
WARMIŃSKO-MAZURSKIE,2022,1259.0,5302.0
WARMIŃSKO-MAZURSKIE,2023,1177.0,4923.0
WARMIŃSKO-MAZURSKIE,2024,1338.0,4779.0
WIELKOPOLSKIE,2014,0.0,0.0
WIELKOPOLSKIE,2015,9952.0,28110.0
WIELKOPOLSKIE,2016,8346.0,25828.0
WIELKOPOLSKIE,2017,7893.0,28707.0
WIELKOPOLSKIE,2018,6562.0,24133.0
WIELKOPOLSKIE,2019,6091.0,22203.0
WIELKOPOLSKIE,2020,7041.0,20891.0
WIELKOPOLSKIE,2021,7189.0,20834.0
WIELKOPOLSKIE,2022,8166.0,19925.0
WIELKOPOLSKIE,2023,7813.0,19324.0
WIELKOPOLSKIE,2024,8391.0,18792.0
ZACHODNIOPOMORSKIE,2014,0.0,0.0
ZACHODNIOPOMORSKIE,2015,2547.0,10612.0
ZACHODNIOPOMORSKIE,2016,2272.0,9620.0
ZACHODNIOPOMORSKIE,2017,1812.0,10045.0
ZACHODNIOPOMORSKIE,2018,1280.0,8192.0
ZACHODNIOPOMORSKIE,2019,1587.0,7210.0
ZACHODNIOPOMORSKIE,2020,1662.0,6449.0
ZACHODNIOPOMORSKIE,2021,1768.0,6466.0
ZACHODNIOPOMORSKIE,2022,1762.0,6209.0
ZACHODNIOPOMORSKIE,2023,1651.0,5896.0
ZACHODNIOPOMORSKIE,2024,1541.0,5883.0
ŁÓDZKIE,2014,0.0,0.0
ŁÓDZKIE,2015,5366.0,16539.0
ŁÓDZKIE,2016,4541.0,14674.0
ŁÓDZKIE,2017,4578.0,16351.0
ŁÓDZKIE,2018,4364.0,14176.0
ŁÓDZKIE,2019,3957.0,13219.0
ŁÓDZKIE,2020,3477.0,11813.0
ŁÓDZKIE,2021,3537.0,12504.0
ŁÓDZKIE,2022,4303.0,11453.0
ŁÓDZKIE,2023,4857.0,11190.0
ŁÓDZKIE,2024,4891.0,11017.0
ŚLĄSKIE,2014,0.0,0.0
ŚLĄSKIE,2015,10925.0,27758.0
ŚLĄSKIE,2016,8245.0,25695.0
ŚLĄSKIE,2017,8990.0,29115.0
ŚLĄSKIE,2018,7802.0,23114.0
ŚLĄSKIE,2019,8400.0,21297.0
ŚLĄSKIE,2020,8596.0,19230.0
ŚLĄSKIE,2021,8937.0,19222.0
ŚLĄSKIE,2022,9846.0,19011.0
ŚLĄSKIE,2023,10617.0,18358.0
ŚLĄSKIE,2024,11166.0,18304.0
ŚWIĘTOKRZYSKIE,2014,0.0,0.0
ŚWIĘTOKRZYSKIE,2015,3555.0,6224.0
ŚWIĘTOKRZYSKIE,2016,2379.0,5628.0
ŚWIĘTOKRZYSKIE,2017,2702.0,5940.0
ŚWIĘTOKRZYSKIE,2018,2015.0,5094.0
ŚWIĘTOKRZYSKIE,2019,2649.0,4084.0
ŚWIĘTOKRZYSKIE,2020,1729.0,3780.0
ŚWIĘTOKRZYSKIE,2021,1610.0,3762.0
ŚWIĘTOKRZYSKIE,2022,1455.0,3521.0
ŚWIĘTOKRZYSKIE,2023,1592.0,3725.0
ŚWIĘTOKRZYSKIE,2024,1378.0,3465.0
