region,inwestycje_zl,typ_inwestycji,rok
DOLNOŚLĄSKIE,3492,ogółem,2000
KUJAWSKO-POMORSKIE,2318,ogółem,2000
LUBELSKIE,1819,ogółem,2000
LUBUSKIE,2604,ogółem,2000
ŁÓDZKIE,2501,ogółem,2000
MAŁOPOLSKIE,2931,ogółem,2000
MAZOWIECKIE,8223,ogółem,2000
OPOLSKIE,2448,ogółem,2000
PODKARPACKIE,1859,ogółem,2000
PODLASKIE,1878,ogółem,2000
POMORSKIE,3347,ogółem,2000
ŚLĄSKIE,3222,ogółem,2000
ŚWIĘTOKRZYSKIE,2092,ogółem,2000
WARMIŃSKO-MAZURSKIE,1845,ogółem,2000
WIELKOPOLSKIE,3557,ogółem,2000
ZACHODNIOPOMORSKIE,2903,ogółem,2000
DOLNOŚLĄSKIE,3786,ogółem,2001
KUJAWSKO-POMORSKIE,2291,ogółem,2001
LUBELSKIE,1684,ogółem,2001
LUBUSKIE,2558,ogółem,2001
ŁÓDZKIE,2577,ogółem,2001
MAŁOPOLSKIE,2462,ogółem,2001
MAZOWIECKIE,7362,ogółem,2001
OPOLSKIE,2076,ogółem,2001
PODKARPACKIE,1743,ogółem,2001
PODLASKIE,1661,ogółem,2001
POMORSKIE,2734,ogółem,2001
ŚLĄSKIE,2649,ogółem,2001
ŚWIĘTOKRZYSKIE,1744,ogółem,2001
WARMIŃSKO-MAZURSKIE,1742,ogółem,2001
WIELKOPOLSKIE,3449,ogółem,2001
ZACHODNIOPOMORSKIE,2520,ogółem,2001
DOLNOŚLĄSKIE,3293,ogółem,2002
KUJAWSKO-POMORSKIE,2312,ogółem,2002
LUBELSKIE,1572,ogółem,2002
LUBUSKIE,2455,ogółem,2002
ŁÓDZKIE,2274,ogółem,2002
MAŁOPOLSKIE,2558,ogółem,2002
MAZOWIECKIE,5378,ogółem,2002
OPOLSKIE,1873,ogółem,2002
PODKARPACKIE,1938,ogółem,2002
PODLASKIE,1808,ogółem,2002
POMORSKIE,2810,ogółem,2002
ŚLĄSKIE,2767,ogółem,2002
ŚWIĘTOKRZYSKIE,2179,ogółem,2002
WARMIŃSKO-MAZURSKIE,1889,ogółem,2002
WIELKOPOLSKIE,3082,ogółem,2002
ZACHODNIOPOMORSKIE,2300,ogółem,2002
DOLNOŚLĄSKIE,3129,ogółem,2003
KUJAWSKO-POMORSKIE,2140,ogółem,2003
LUBELSKIE,1637,ogółem,2003
LUBUSKIE,2564,ogółem,2003
ŁÓDZKIE,2364,ogółem,2003
MAŁOPOLSKIE,2856,ogółem,2003
MAZOWIECKIE,5021,ogółem,2003
OPOLSKIE,2011,ogółem,2003
PODKARPACKIE,2157,ogółem,2003
PODLASKIE,2048,ogółem,2003
POMORSKIE,2654,ogółem,2003
ŚLĄSKIE,2843,ogółem,2003
ŚWIĘTOKRZYSKIE,1970,ogółem,2003
WARMIŃSKO-MAZURSKIE,1994,ogółem,2003
WIELKOPOLSKIE,3658,ogółem,2003
ZACHODNIOPOMORSKIE,2381,ogółem,2003
DOLNOŚLĄSKIE,3600,ogółem,2004
KUJAWSKO-POMORSKIE,2251,ogółem,2004
LUBELSKIE,1841,ogółem,2004
LUBUSKIE,2727,ogółem,2004
ŁÓDZKIE,2798,ogółem,2004
MAŁOPOLSKIE,2834,ogółem,2004
MAZOWIECKIE,5321,ogółem,2004
OPOLSKIE,2213,ogółem,2004
PODKARPACKIE,2334,ogółem,2004
PODLASKIE,2314,ogółem,2004
POMORSKIE,3050,ogółem,2004
ŚLĄSKIE,3050,ogółem,2004
ŚWIĘTOKRZYSKIE,2307,ogółem,2004
WARMIŃSKO-MAZURSKIE,2157,ogółem,2004
WIELKOPOLSKIE,3805,ogółem,2004
ZACHODNIOPOMORSKIE,2907,ogółem,2004
DOLNOŚLĄSKIE,3970,ogółem,2005
KUJAWSKO-POMORSKIE,2622,ogółem,2005
LUBELSKIE,1992,ogółem,2005
LUBUSKIE,3287,ogółem,2005
ŁÓDZKIE,3490,ogółem,2005
MAŁOPOLSKIE,3082,ogółem,2005
MAZOWIECKIE,5634,ogółem,2005
OPOLSKIE,2553,ogółem,2005
PODKARPACKIE,2440,ogółem,2005
PODLASKIE,2720,ogółem,2005
POMORSKIE,3370,ogółem,2005
ŚLĄSKIE,3297,ogółem,2005
ŚWIĘTOKRZYSKIE,2322,ogółem,2005
WARMIŃSKO-MAZURSKIE,2735,ogółem,2005
WIELKOPOLSKIE,3792,ogółem,2005
ZACHODNIOPOMORSKIE,2831,ogółem,2005
DOLNOŚLĄSKIE,5076,ogółem,2006
KUJAWSKO-POMORSKIE,2981,ogółem,2006
LUBELSKIE,2261,ogółem,2006
LUBUSKIE,3537,ogółem,2006
ŁÓDZKIE,3889,ogółem,2006
MAŁOPOLSKIE,3967,ogółem,2006
MAZOWIECKIE,6445,ogółem,2006
OPOLSKIE,2773,ogółem,2006
PODKARPACKIE,2817,ogółem,2006
PODLASKIE,3064,ogółem,2006
POMORSKIE,4036,ogółem,2006
ŚLĄSKIE,4187,ogółem,2006
ŚWIĘTOKRZYSKIE,2418,ogółem,2006
WARMIŃSKO-MAZURSKIE,3312,ogółem,2006
WIELKOPOLSKIE,4176,ogółem,2006
ZACHODNIOPOMORSKIE,3835,ogółem,2006
DOLNOŚLĄSKIE,6044,ogółem,2007
KUJAWSKO-POMORSKIE,3924,ogółem,2007
LUBELSKIE,2803,ogółem,2007
LUBUSKIE,4529,ogółem,2007
ŁÓDZKIE,5413,ogółem,2007
MAŁOPOLSKIE,4631,ogółem,2007
MAZOWIECKIE,8007,ogółem,2007
OPOLSKIE,3590,ogółem,2007
PODKARPACKIE,3351,ogółem,2007
PODLASKIE,3577,ogółem,2007
POMORSKIE,5616,ogółem,2007
ŚLĄSKIE,5294,ogółem,2007
ŚWIĘTOKRZYSKIE,3222,ogółem,2007
WARMIŃSKO-MAZURSKIE,3770,ogółem,2007
WIELKOPOLSKIE,4873,ogółem,2007
ZACHODNIOPOMORSKIE,4102,ogółem,2007
DOLNOŚLĄSKIE,6420,ogółem,2008
KUJAWSKO-POMORSKIE,4817,ogółem,2008
LUBELSKIE,3526,ogółem,2008
LUBUSKIE,4382,ogółem,2008
ŁÓDZKIE,5792,ogółem,2008
MAŁOPOLSKIE,4905,ogółem,2008
MAZOWIECKIE,9108,ogółem,2008
OPOLSKIE,3778,ogółem,2008
PODKARPACKIE,3759,ogółem,2008
PODLASKIE,4046,ogółem,2008
POMORSKIE,6310,ogółem,2008
ŚLĄSKIE,5883,ogółem,2008
ŚWIĘTOKRZYSKIE,4384,ogółem,2008
WARMIŃSKO-MAZURSKIE,4140,ogółem,2008
WIELKOPOLSKIE,5939,ogółem,2008
ZACHODNIOPOMORSKIE,5332,ogółem,2008
DOLNOŚLĄSKIE,6519,ogółem,2009
KUJAWSKO-POMORSKIE,5375,ogółem,2009
LUBELSKIE,3673,ogółem,2009
LUBUSKIE,4380,ogółem,2009
ŁÓDZKIE,5250,ogółem,2009
MAŁOPOLSKIE,4526,ogółem,2009
MAZOWIECKIE,8723,ogółem,2009
OPOLSKIE,4409,ogółem,2009
PODKARPACKIE,4064,ogółem,2009
PODLASKIE,3892,ogółem,2009
POMORSKIE,7903,ogółem,2009
ŚLĄSKIE,6117,ogółem,2009
ŚWIĘTOKRZYSKIE,4861,ogółem,2009
WARMIŃSKO-MAZURSKIE,4101,ogółem,2009
WIELKOPOLSKIE,5390,ogółem,2009
ZACHODNIOPOMORSKIE,5034,ogółem,2009
DOLNOŚLĄSKIE,6155,ogółem,2010
KUJAWSKO-POMORSKIE,5064,ogółem,2010
LUBELSKIE,3799,ogółem,2010
LUBUSKIE,7329,ogółem,2010
ŁÓDZKIE,5382,ogółem,2010
MAŁOPOLSKIE,4811,ogółem,2010
MAZOWIECKIE,8244,ogółem,2010
OPOLSKIE,4590,ogółem,2010
PODKARPACKIE,4837,ogółem,2010
PODLASKIE,4194,ogółem,2010
POMORSKIE,5753,ogółem,2010
ŚLĄSKIE,5672,ogółem,2010
ŚWIĘTOKRZYSKIE,5250,ogółem,2010
WARMIŃSKO-MAZURSKIE,4503,ogółem,2010
WIELKOPOLSKIE,5487,ogółem,2010
ZACHODNIOPOMORSKIE,4816,ogółem,2010
DOLNOŚLĄSKIE,6916,ogółem,2011
KUJAWSKO-POMORSKIE,5392,ogółem,2011
LUBELSKIE,4751,ogółem,2011
LUBUSKIE,7810,ogółem,2011
ŁÓDZKIE,6641,ogółem,2011
MAŁOPOLSKIE,5431,ogółem,2011
MAZOWIECKIE,8680,ogółem,2011
OPOLSKIE,4628,ogółem,2011
PODKARPACKIE,6306,ogółem,2011
PODLASKIE,5423,ogółem,2011
POMORSKIE,6118,ogółem,2011
ŚLĄSKIE,6506,ogółem,2011
ŚWIĘTOKRZYSKIE,5242,ogółem,2011
WARMIŃSKO-MAZURSKIE,5334,ogółem,2011
WIELKOPOLSKIE,6038,ogółem,2011
ZACHODNIOPOMORSKIE,5092,ogółem,2011
DOLNOŚLĄSKIE,6729,ogółem,2012
KUJAWSKO-POMORSKIE,4561,ogółem,2012
LUBELSKIE,4543,ogółem,2012
