region,liczba_pomiotow_gospodarczych,rok
DOLNOŚLĄSKIE,"1593,7",2002
KUJAWSKO-POMORSKIE,"1427,8",2002
LUBELSKIE,"1134,0",2002
LUBUSKIE,"1499,4",2002
ŁÓDZKIE,"1428,8",2002
MAŁOPOLSKIE,"1406,8",2002
MAZOWIECKIE,"1742,2",2002
OPOLSKIE,"1275,1",2002
PODKARPACKIE,"1101,1",2002
PODLASKIE,"1314,7",2002
POMORSKIE,"1578,2",2002
ŚLĄSKIE,"1376,3",2002
ŚWIĘTOKRZYSKIE,"1268,4",2002
WARMIŃSKO-MAZURSKIE,"1220,4",2002
WIELKOPOLSKIE,"1539,6",2002
ZACHODNIOPOMORSKIE,"1804,8",2002
DOLNOŚLĄSKIE,"1635,9",2003
KUJAWSKO-POMORSKIE,"1462,0",2003
LUBELSKIE,"1163,4",2003
LUBUSKIE,"1504,3",2003
ŁÓDZKIE,"1475,6",2003
MAŁOPOLSKIE,"1433,3",2003
MAZOWIECKIE,"1788,8",2003
OPOLSKIE,"1303,6",2003
PODKARPACKIE,"1120,8",2003
PODLASKIE,"1332,8",2003
POMORSKIE,"1631,1",2003
ŚLĄSKIE,"1390,3",2003
ŚWIĘTOKRZYSKIE,"1308,4",2003
WARMIŃSKO-MAZURSKIE,"1231,4",2003
WIELKOPOLSKIE,"1574,4",2003
ZACHODNIOPOMORSKIE,"1834,9",2003
DOLNOŚLĄSKIE,"1616,3",2004
KUJAWSKO-POMORSKIE,"1404,1",2004
LUBELSKIE,"1114,4",2004
LUBUSKIE,"1514,1",2004
ŁÓDZKIE,"1489,3",2004
MAŁOPOLSKIE,"1423,5",2004
MAZOWIECKIE,"1802,3",2004
OPOLSKIE,"1311,8",2004
PODKARPACKIE,"1083,3",2004
PODLASKIE,"1238,9",2004
POMORSKIE,"1591,2",2004
ŚLĄSKIE,"1403,4",2004
ŚWIĘTOKRZYSKIE,"1291,9",2004
WARMIŃSKO-MAZURSKIE,"1201,3",2004
WIELKOPOLSKIE,"1550,7",2004
ZACHODNIOPOMORSKIE,"1831,5",2004
DOLNOŚLĄSKIE,"1597,2",2005
KUJAWSKO-POMORSKIE,"1408,5",2005
LUBELSKIE,"1105,0",2005
LUBUSKIE,"1547,0",2005
ŁÓDZKIE,"1515,2",2005
MAŁOPOLSKIE,"1415,6",2005
MAZOWIECKIE,"1837,5",2005
OPOLSKIE,"1337,4",2005
PODKARPACKIE,"1068,4",2005
PODLASKIE,"1201,0",2005
POMORSKIE,"1600,2",2005
ŚLĄSKIE,"1391,6",2005
ŚWIĘTOKRZYSKIE,"1301,3",2005
WARMIŃSKO-MAZURSKIE,"1202,8",2005
WIELKOPOLSKIE,"1566,0",2005
ZACHODNIOPOMORSKIE,"1861,4",2005
DOLNOŚLĄSKIE,"1597,1",2006
KUJAWSKO-POMORSKIE,"1404,1",2006
LUBELSKIE,"1113,0",2006
LUBUSKIE,"1593,4",2006
ŁÓDZKIE,"1471,1",2006
MAŁOPOLSKIE,"1403,8",2006
MAZOWIECKIE,"1850,8",2006
OPOLSKIE,"1369,9",2006
PODKARPACKIE,"1071,6",2006
PODLASKIE,"1194,3",2006
POMORSKIE,"1610,3",2006
ŚLĄSKIE,"1391,3",2006
ŚWIĘTOKRZYSKIE,"1321,7",2006
WARMIŃSKO-MAZURSKIE,"1209,1",2006
WIELKOPOLSKIE,"1579,7",2006
ZACHODNIOPOMORSKIE,"1880,6",2006
DOLNOŚLĄSKIE,"1624,3",2007
KUJAWSKO-POMORSKIE,"1413,0",2007
LUBELSKIE,"1117,0",2007
LUBUSKIE,"1603,9",2007
ŁÓDZKIE,"1473,7",2007
MAŁOPOLSKIE,"1415,0",2007
MAZOWIECKIE,"1895,4",2007
OPOLSKIE,"1399,9",2007
PODKARPACKIE,"1073,7",2007
PODLASKIE,"1185,8",2007
POMORSKIE,"1629,7",2007
ŚLĄSKIE,"1400,6",2007
ŚWIĘTOKRZYSKIE,"1327,4",2007
WARMIŃSKO-MAZURSKIE,"1223,3",2007
WIELKOPOLSKIE,"1602,5",2007
ZACHODNIOPOMORSKIE,"1889,4",2007
DOLNOŚLĄSKIE,"1669,9",2008
KUJAWSKO-POMORSKIE,"1437,5",2008
LUBELSKIE,"1137,2",2008
LUBUSKIE,"1533,1",2008
ŁÓDZKIE,"1486,6",2008
MAŁOPOLSKIE,"1444,6",2008
MAZOWIECKIE,"1956,2",2008
OPOLSKIE,"1420,4",2008
PODKARPACKIE,"1082,1",2008
PODLASKIE,"1200,8",2008
POMORSKIE,"1677,7",2008
ŚLĄSKIE,"1409,3",2008
ŚWIĘTOKRZYSKIE,"1344,2",2008
WARMIŃSKO-MAZURSKIE,"1248,2",2008
WIELKOPOLSKIE,"1635,9",2008
ZACHODNIOPOMORSKIE,"1910,0",2008
DOLNOŚLĄSKIE,"1673,2",2009
KUJAWSKO-POMORSKIE,"1360,0",2009
LUBELSKIE,"1147,4",2009
LUBUSKIE,"1525,9",2009
ŁÓDZKIE,"1358,3",2009
MAŁOPOLSKIE,"1495,8",2009
MAZOWIECKIE,"1942,6",2009
OPOLSKIE,"1408,6",2009
PODKARPACKIE,"1080,8",2009
PODLASKIE,"1187,9",2009
POMORSKIE,"1731,6",2009
ŚLĄSKIE,"1418,9",2009
ŚWIĘTOKRZYSKIE,"1309,6",2009
WARMIŃSKO-MAZURSKIE,"1234,8",2009
WIELKOPOLSKIE,"1622,7",2009
ZACHODNIOPOMORSKIE,"1929,7",2009
DOLNOŚLĄSKIE,"1728,6",2010
KUJAWSKO-POMORSKIE,"1370,8",2010
LUBELSKIE,"1191,1",2010
LUBUSKIE,"1577,2",2010
ŁÓDZKIE,"1424,6",2010
MAŁOPOLSKIE,"1561,1",2010
MAZOWIECKIE,"2034,7",2010
OPOLSKIE,"1486,2",2010
PODKARPACKIE,"1123,1",2010
PODLASKIE,"1201,2",2010
POMORSKIE,"1771,1",2010
ŚLĄSKIE,"1494,9",2010
ŚWIĘTOKRZYSKIE,"1332,5",2010
WARMIŃSKO-MAZURSKIE,"1252,0",2010
WIELKOPOLSKIE,"1679,7",2010
ZACHODNIOPOMORSKIE,"1943,5",2010
DOLNOŚLĄSKIE,"1721,4",2011
KUJAWSKO-POMORSKIE,"1364,2",2011
LUBELSKIE,"1181,3",2011
LUBUSKIE,"1560,7",2011
ŁÓDZKIE,"1424,2",2011
MAŁOPOLSKIE,"1559,6",2011
MAZOWIECKIE,"2019,2",2011
OPOLSKIE,"1470,7",2011
PODKARPACKIE,"1110,8",2011
PODLASKIE,"1199,6",2011
POMORSKIE,"1759,8",2011
ŚLĄSKIE,"1479,0",2011
ŚWIĘTOKRZYSKIE,"1305,8",2011
WARMIŃSKO-MAZURSKIE,"1236,1",2011
WIELKOPOLSKIE,"1689,4",2011
ZACHODNIOPOMORSKIE,"1903,9",2011
DOLNOŚLĄSKIE,"1785,4",2012
KUJAWSKO-POMORSKIE,"1398,8",2012
LUBELSKIE,"1216,7",2012
LUBUSKIE,"1620,9",2012
ŁÓDZKIE,"1473,9",2012
MAŁOPOLSKIE,"1615,9",2012
MAZOWIECKIE,"2097,3",2012
OPOLSKIE,"1500,7",2012
PODKARPACKIE,"1140,3",2012
PODLASKIE,"1241,0",2012
POMORSKIE,"1812,6",2012
ŚLĄSKIE,"1526,9",2012
ŚWIĘTOKRZYSKIE,"1342,1",2012
WARMIŃSKO-MAZURSKIE,"1271,8",2012
WIELKOPOLSKIE,"1748,4",2012
ZACHODNIOPOMORSKIE,"1940,7",2012
DOLNOŚLĄSKIE,"1861,3",2013
KUJAWSKO-POMORSKIE,"1434,6",2013
LUBELSKIE,"1255,2",2013
