region,rok,saldo_migracji_ogółem,wymeldowania_do_miast_ogółem,wymeldowania_na_wieś_ogółem,wymeldowania_ogółem_kobiety,wymeldowania_ogółem_mężczyźni,wymeldowania_ogółem_ogółem,zameldowania_ogółem_kobiety,zameldowania_ogółem_mężczyźni,zameldowania_ogółem_ogółem,zameldowania_z_miast_ogółem,zameldowania_ze_wsi_ogółem
DOLNOŚLĄSKIE,1999,-283.0,,,12505.0,11567.0,24072.0,12397.0,11392.0,23789.0,,
DOLNOŚLĄSKIE,2000,-573.0,12956.0,7704.0,10805.0,9855.0,20660.0,10483.0,9604.0,20087.0,13603.0,6484.0
DOLNOŚLĄSKIE,2001,177.0,12793.0,7415.0,10570.0,9638.0,20208.0,10622.0,9763.0,20385.0,14126.0,6259.0
DOLNOŚLĄSKIE,2002,-684.0,13572.0,8200.0,11396.0,10376.0,21772.0,11075.0,10013.0,21088.0,14943.0,6145.0
DOLNOŚLĄSKIE,2003,-1219.0,12973.0,8239.0,11302.0,9910.0,21212.0,10559.0,9434.0,19993.0,14332.0,5661.0
DOLNOŚLĄSKIE,2004,-890.0,12935.0,8792.0,11445.0,10282.0,21727.0,10981.0,9856.0,20837.0,14851.0,5986.0
DOLNOŚLĄSKIE,2005,-930.0,12989.0,8140.0,11205.0,9924.0,21129.0,10732.0,9467.0,20199.0,14360.0,5839.0
DOLNOŚLĄSKIE,2006,404.0,14796.0,10745.0,13433.0,12108.0,25541.0,13569.0,12376.0,25945.0,18644.0,7301.0
DOLNOŚLĄSKIE,2007,347.0,14710.0,11508.0,13842.0,12376.0,26218.0,14044.0,12521.0,26565.0,18878.0,7687.0
DOLNOŚLĄSKIE,2008,526.0,12715.0,9727.0,12070.0,10372.0,22442.0,12455.0,10513.0,22968.0,16264.0,6704.0
DOLNOŚLĄSKIE,2009,1131.0,12538.0,9441.0,11873.0,10106.0,21979.0,12689.0,10421.0,23110.0,16432.0,6678.0
DOLNOŚLĄSKIE,2010,1579.0,13121.0,9983.0,12489.0,10615.0,23104.0,13324.0,11359.0,24683.0,17917.0,6766.0
DOLNOŚLĄSKIE,2011,1559.0,13105.0,9833.0,12283.0,10655.0,22938.0,13226.0,11271.0,24497.0,17400.0,7097.0
DOLNOŚLĄSKIE,2012,1735.0,12054.0,9260.0,11516.0,9798.0,21314.0,12500.0,10549.0,23049.0,16252.0,6797.0
DOLNOŚLĄSKIE,2013,2391.0,13951.0,10064.0,12676.0,11339.0,24015.0,13950.0,12456.0,26406.0,18739.0,7667.0
DOLNOŚLĄSKIE,2014,2426.0,13286.0,9654.0,12196.0,10744.0,22940.0,13622.0,11744.0,25366.0,17802.0,7564.0
DOLNOŚLĄSKIE,2015,2652.0,12365.0,8645.0,11238.0,9772.0,21010.0,12591.0,11071.0,23662.0,16403.0,7259.0
DOLNOŚLĄSKIE,2016,2659.0,11393.0,8842.0,10740.0,9495.0,20235.0,12156.0,10738.0,22894.0,15863.0,7031.0
DOLNOŚLĄSKIE,2017,2595.0,12302.0,9544.0,11627.0,10219.0,21846.0,13098.0,11343.0,24441.0,17135.0,7306.0
DOLNOŚLĄSKIE,2018,3200.0,14208.0,11116.0,13519.0,11805.0,25324.0,15085.0,13439.0,28524.0,20101.0,8423.0
DOLNOŚLĄSKIE,2019,4215.0,14629.0,11827.0,14020.0,12436.0,26456.0,16297.0,14374.0,30671.0,21344.0,9327.0
DOLNOŚLĄSKIE,2020,3295.0,11606.0,10526.0,11679.0,10453.0,22132.0,13451.0,11976.0,25427.0,17669.0,7758.0
DOLNOŚLĄSKIE,2021,3305.0,12665.0,11890.0,12988.0,11567.0,24555.0,14638.0,13222.0,27860.0,19435.0,8425.0
DOLNOŚLĄSKIE,2022,3695.0,11347.0,11112.0,11943.0,10516.0,22459.0,13852.0,12302.0,26154.0,17878.0,8276.0
DOLNOŚLĄSKIE,2023,3617.0,12136.0,11356.0,12269.0,11223.0,23492.0,14169.0,12940.0,27109.0,18994.0,8115.0
DOLNOŚLĄSKIE,2024,3579.0,12837.0,11857.0,12874.0,11820.0,24694.0,14695.0,13578.0,28273.0,19513.0,8760.0
DOLNOŚLĄSKIE,2025,,,,,,,,,,,
KUJAWSKO-POMORSKIE,1999,-244.0,,,9780.0,8871.0,18651.0,9705.0,8702.0,18407.0,,
KUJAWSKO-POMORSKIE,2000,-407.0,9650.0,7309.0,8900.0,8059.0,16959.0,8652.0,7900.0,16552.0,9795.0,6757.0
KUJAWSKO-POMORSKIE,2001,-868.0,9341.0,6876.0,8520.0,7697.0,16217.0,7961.0,7388.0,15349.0,9540.0,5809.0
KUJAWSKO-POMORSKIE,2002,-1021.0,10049.0,7943.0,9424.0,8568.0,17992.0,8803.0,8168.0,16971.0,10855.0,6116.0
KUJAWSKO-POMORSKIE,2003,-1057.0,10552.0,8770.0,10297.0,9025.0,19322.0,9668.0,8597.0,18265.0,12040.0,6225.0
KUJAWSKO-POMORSKIE,2004,-1094.0,10287.0,9268.0,10191.0,9364.0,19555.0,9649.0,8812.0,18461.0,12372.0,6089.0
KUJAWSKO-POMORSKIE,2005,-1550.0,10332.0,9057.0,10353.0,9036.0,19389.0,9438.0,8401.0,17839.0,11759.0,6080.0
KUJAWSKO-POMORSKIE,2006,-1623.0,11105.0,9940.0,11127.0,9918.0,21045.0,10287.0,9135.0,19422.0,12828.0,6594.0
KUJAWSKO-POMORSKIE,2007,-1464.0,10916.0,10635.0,11415.0,10136.0,21551.0,10571.0,9516.0,20087.0,12967.0,7120.0
KUJAWSKO-POMORSKIE,2008,-1059.0,9194.0,8743.0,9625.0,8312.0,17937.0,9032.0,7846.0,16878.0,10945.0,5933.0
KUJAWSKO-POMORSKIE,2009,-1315.0,8957.0,8770.0,9526.0,8201.0,17727.0,8749.0,7663.0,16412.0,10724.0,5688.0
