region,rok,"gimnazjalne,_podstawowe_i_niższe_ogółem_wartość_liczbowa","gimnazjalne,_podstawowe_i_niższe_ogółem_wskaźnik_precyzji",policealne_oraz_średnie_zawodowe/branżowe_ogółem_wartość_liczbowa,policealne_oraz_średnie_zawodowe/branżowe_ogółem_wskaźnik_precyzji,wyższe_ogółem_wartość_liczbowa,wyższe_ogółem_wskaźnik_precyzji,zasadnicze_zawodowe/branżowe_ogółem_wartość_liczbowa,zasadnicze_zawodowe/branżowe_ogółem_wskaźnik_precyzji,średnie_(łącznie_z_zasadniczym_zawodowym/branżowym_i_policealnym)_ogółem_wartość_liczbowa,średnie_(łącznie_ze_średnim_zawodowym/branżowym_i_ogólnokształcącym)_ogółem_wartość_liczbowa,średnie_ogólnokształcące_ogółem_wartość_liczbowa,średnie_ogólnokształcące_ogółem_wskaźnik_precyzji,średnie_zawodowe/branżowe_ogółem_wartość_liczbowa,średnie_zawodowe/branżowe_ogółem_wskaźnik_precyzji
DOLNOŚLĄSKIE,2010,17,2.2,25.6,1.29,18.7,2.27,26.8,1.5,64.3,33.8,11.9,2.38,21.9,1.51
DOLNOŚLĄSKIE,2011,17,3.22,24.3,2.28,19.7,3.3,27.3,2.31,63.2,32.4,11.6,3.42,20.8,2.52
DOLNOŚLĄSKIE,2012,16.6,2.69,24.1,2.12,20.8,3.04,27.4,2.13,62.6,31.7,11.1,2.99,20.6,2.33
DOLNOŚLĄSKIE,2013,15.5,2.96,24.3,2.25,22.1,3,26.4,2.3,62.3,32.5,11.6,3.23,20.9,2.53
DOLNOŚLĄSKIE,2014,13.9,3.32,24.6,2.15,24.5,2.89,25.3,2.24,61.7,33,11.8,3.39,21.2,2.36
DOLNOŚLĄSKIE,2015,14.7,3.47,24.9,2.31,24.2,2.95,25.1,2.58,61.1,32.8,11.1,3.71,21.7,2.66
DOLNOŚLĄSKIE,2016,14.4,3.93,25,2.91,25.5,3.1,24.6,2.86,60.1,32.1,10.5,4.57,21.6,3.17
DOLNOŚLĄSKIE,2017,12.8,4.13,25,2.91,26.6,3.36,24.8,3.54,60.6,32.4,10.8,5.24,21.6,3.14
DOLNOŚLĄSKIE,2018,12.9,4.56,24.8,3.06,28.2,3.53,24.5,3.84,58.9,31.2,9.6,5.41,21.6,3.43
DOLNOŚLĄSKIE,2019,12.9,4.83,23.3,3.77,30.9,3.6,23.4,4.06,56.2,29.8,9.5,5.89,20.3,4.07
DOLNOŚLĄSKIE,2020,11.2,5.4,23.1,4.3,32.8,3.7,23,4.6,56,30.3,9.9,6.8,20.4,4.7
DOLNOŚLĄSKIE,2021,12.7,5.46,25.4,3.5,32.2,3.57,20.5,4.31,55.1,31.3,9.2,6.52,22.1,4.07
DOLNOŚLĄSKIE,2022,12.9,6.35,25.5,4.02,32.1,3.71,19.3,4.34,55.1,32.6,10.3,6.44,22.3,4.44
DOLNOŚLĄSKIE,2023,12,5.71,23.4,4.44,35.6,3.3,17.8,4.67,52.5,31.5,11.3,6.26,20.2,5
DOLNOŚLĄSKIE,2024,10.7,5.03,22.8,3.82,37.9,2.81,16.8,4.72,51.5,31.7,11.9,5.04,19.8,4.1
DOLNOŚLĄSKIE,2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KUJAWSKO-POMORSKIE,2010,21,2.08,22.2,1.8,14.6,2.99,31.2,1.61,64.4,30.5,11,2.57,19.5,1.85
KUJAWSKO-POMORSKIE,2011,20.4,3.1,22,2.64,16.5,3.95,30.7,2.16,63.2,29.5,10.5,4.22,19,2.93
KUJAWSKO-POMORSKIE,2012,19,2.98,22.3,2.37,17.7,3.53,30.2,2.13,63.4,30.5,10.9,3.7,19.6,2.5
KUJAWSKO-POMORSKIE,2013,17.9,2.96,23.1,2.6,18.4,3.48,29.7,2.16,63.8,31,11,3.64,20,2.9
KUJAWSKO-POMORSKIE,2014,17.1,3.2,23.2,2.51,18.1,3.58,30.9,2.25,64.9,30.8,10.8,3.59,20,2.77
KUJAWSKO-POMORSKIE,2015,17,3.38,23.9,2.56,18.8,3.53,29.4,2.47,64.2,31.8,10.9,3.89,20.9,2.69
KUJAWSKO-POMORSKIE,2016,16.1,2.86,24.4,2.39,20.7,2.94,28.4,2.36,63.2,31.6,10.4,3.6,21.2,2.67
KUJAWSKO-POMORSKIE,2017,15.5,2.79,23.3,2.38,21.8,2.59,29.2,2.22,62.6,30.1,10.1,3.57,20,2.6
KUJAWSKO-POMORSKIE,2018,15.7,2.99,23.2,2.32,22.1,2.97,28.4,2.34,62.2,30.7,10.6,3.77,20.1,2.54
KUJAWSKO-POMORSKIE,2019,15.7,3.74,23.3,2.83,21.8,3.79,28.5,2.72,62.5,30.6,10.7,4.34,19.9,3.12
KUJAWSKO-POMORSKIE,2020,15.8,4.7,23.6,3.4,23.8,4.7,26.5,3.5,60.3,30,10.2,5.4,19.8,3.9
KUJAWSKO-POMORSKIE,2021,14.6,4.39,25.1,3.52,24.8,3.84,25.2,3.15,60.7,31.9,10.4,5.52,21.5,4.02
KUJAWSKO-POMORSKIE,2022,14.4,4.5,25.4,3.32,24.7,3.71,25.4,3.5,60.8,31.9,10,5.77,21.9,3.87
KUJAWSKO-POMORSKIE,2023,14.5,5.77,24,3.63,27.4,3.7,22.9,4.07,58.1,31.9,11.2,5.58,20.7,4.16
KUJAWSKO-POMORSKIE,2024,13.8,4.91,24.5,3.6,27.6,3.1,22,3.83,58.6,33.4,12.1,5.07,21.3,3.84
KUJAWSKO-POMORSKIE,2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LUBELSKIE,2010,19.9,1.81,27,1.28,18.8,2.14,24.1,1.55,61.3,32.8,10.2,2.4,22.6,1.4
LUBELSKIE,2011,19.4,2.63,26.5,1.95,19.4,3.08,24.6,2.26,61.2,32.4,10.1,3.46,22.3,2.22
LUBELSKIE,2012,18.4,2.73,25.6,2.25,21,3.05,24.6,2.3,60.7,31.5,10.5,3.43,21,2.52
LUBELSKIE,2013,17.3,2.71,25.6,2.21,22.5,2.72,24.1,2.12,60.3,31.6,10.6,3.27,21,2.47
LUBELSKIE,2014,16.8,2.73,25.5,2.29,23.7,2.57,23.9,2.29,59.4,31,10,3.57,21,2.52
LUBELSKIE,2015,16.5,2.78,25.9,2.05,23.7,2.64,23.7,2.39,59.9,32,10.3,3.63,21.7,2.27
LUBELSKIE,2016,15.4,2.9,27.9,2.3,23.6,2.65,23.5,2.53,61.1,33.3,9.7,4.12,23.6,2.65
LUBELSKIE,2017,15.4,3.62,27.5,2.49,23.5,3.21,23.5,3.18,61.1,33.6,10.1,4.43,23.5,2.85
LUBELSKIE,2018,15.3,3.84,26.2,2.56,25.2,2.81,22.6,3.28,59.4,33.4,10.6,4.72,22.8,2.84
LUBELSKIE,2019,15,3.87,25.5,2.94,27.4,2.89,21.6,3.05,57.7,32,10.6,4.32,21.4,3.16
LUBELSKIE,2020,14,3.5,25.4,3.1,29.3,3.4,20.8,3.5,56.7,31.6,10.5,5.3,21.1,3.4
LUBELSKIE,2021,14.6,3.62,26.9,2.86,27,2.83,20.7,3.52,58.4,33.6,10.8,4.54,22.8,3.18
LUBELSKIE,2022,14.5,4.02,26.4,3.12,25.8,3.09,22.1,3.45,59.7,33.9,11.2,4.64,22.7,3.33
LUBELSKIE,2023,13.6,4.77,23.9,3.35,29.6,2.93,20.7,3.6,56.9,33,12.3,4.67,20.7,3.62
LUBELSKIE,2024,12.8,4.49,23.5,3.11,31.2,2.7,19.3,3.59,56,33.5,13.2,4.67,20.3,3.38
LUBELSKIE,2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LUBUSKIE,2010,18.5,2.36,25.5,1.61,15.9,2.97,29.3,1.87,65.7,33.3,10.9,3.07,22.4,1.78
LUBUSKIE,2011,18.4,3.55,24.7,3.04,17,4.62,29,2.93,64.6,32.7,10.9,4.64,21.8,3.13
LUBUSKIE,2012,18.3,3.71,25.3,2.59,16.6,4.13,28.9,2.37,65.1,33.3,10.9,3.89,22.4,2.75
LUBUSKIE,2013,18.1,3.19,25.1,2.61,18.2,3.85,28.6,2.42,63.8,32.1,10.1,4.2,22,2.79
