region,wartosc,typ_uczelni,rok
DOLNOŚLĄSKIE,,uczelnie publiczne,2014
KUJAWSKO-POMORSKIE,,uczelnie publiczne,2014
LUBELSKIE,,uczelnie publiczne,2014
LUBUSKIE,,uczelnie publiczne,2014
ŁÓDZKIE,,uczelnie publiczne,2014
MAŁOPOLSKIE,,uczelnie publiczne,2014
MAZOWIECKIE,,uczelnie publiczne,2014
OPOLSKIE,,uczelnie publiczne,2014
PODKARPACKIE,,uczelnie publiczne,2014
PODLASKIE,,uczelnie publiczne,2014
POMORSKIE,,uczelnie publiczne,2014
ŚLĄSKIE,,uczelnie publiczne,2014
ŚWIĘTOKRZYSKIE,,uczelnie publiczne,2014
WARMIŃSKO-MAZURSKIE,,uczelnie publiczne,2014
WIELKOPOLSKIE,,uczelnie publiczne,2014
ZACHODNIOPOMORSKIE,,uczelnie publiczne,2014
DOLNOŚLĄSKIE,25961.0,uczelnie publiczne,2015
KUJAWSKO-POMORSKIE,12578.0,uczelnie publiczne,2015
LUBELSKIE,15294.0,uczelnie publiczne,2015
LUBUSKIE,4569.0,uczelnie publiczne,2015
ŁÓDZKIE,16539.0,uczelnie publiczne,2015
MAŁOPOLSKIE,41112.0,uczelnie publiczne,2015
MAZOWIECKIE,45402.0,uczelnie publiczne,2015
OPOLSKIE,6677.0,uczelnie publiczne,2015
PODKARPACKIE,13452.0,uczelnie publiczne,2015
PODLASKIE,8541.0,uczelnie publiczne,2015
POMORSKIE,17884.0,uczelnie publiczne,2015
ŚLĄSKIE,27758.0,uczelnie publiczne,2015
ŚWIĘTOKRZYSKIE,6224.0,uczelnie publiczne,2015
WARMIŃSKO-MAZURSKIE,8258.0,uczelnie publiczne,2015
WIELKOPOLSKIE,28110.0,uczelnie publiczne,2015
ZACHODNIOPOMORSKIE,10612.0,uczelnie publiczne,2015
DOLNOŚLĄSKIE,25616.0,uczelnie publiczne,2016
KUJAWSKO-POMORSKIE,11352.0,uczelnie publiczne,2016
LUBELSKIE,14607.0,uczelnie publiczne,2016
LUBUSKIE,4130.0,uczelnie publiczne,2016
ŁÓDZKIE,14674.0,uczelnie publiczne,2016
MAŁOPOLSKIE,41382.0,uczelnie publiczne,2016
MAZOWIECKIE,44121.0,uczelnie publiczne,2016
OPOLSKIE,5828.0,uczelnie publiczne,2016
PODKARPACKIE,13283.0,uczelnie publiczne,2016
PODLASKIE,7859.0,uczelnie publiczne,2016
POMORSKIE,17387.0,uczelnie publiczne,2016
ŚLĄSKIE,25695.0,uczelnie publiczne,2016
ŚWIĘTOKRZYSKIE,5628.0,uczelnie publiczne,2016
WARMIŃSKO-MAZURSKIE,7671.0,uczelnie publiczne,2016
WIELKOPOLSKIE,25828.0,uczelnie publiczne,2016
ZACHODNIOPOMORSKIE,9620.0,uczelnie publiczne,2016
DOLNOŚLĄSKIE,26636.0,uczelnie publiczne,2017
KUJAWSKO-POMORSKIE,11437.0,uczelnie publiczne,2017
LUBELSKIE,15374.0,uczelnie publiczne,2017
LUBUSKIE,3785.0,uczelnie publiczne,2017
ŁÓDZKIE,16351.0,uczelnie publiczne,2017
MAŁOPOLSKIE,46592.0,uczelnie publiczne,2017
MAZOWIECKIE,48316.0,uczelnie publiczne,2017
OPOLSKIE,6197.0,uczelnie publiczne,2017
PODKARPACKIE,12532.0,uczelnie publiczne,2017
PODLASKIE,8422.0,uczelnie publiczne,2017
POMORSKIE,19801.0,uczelnie publiczne,2017
ŚLĄSKIE,29115.0,uczelnie publiczne,2017
ŚWIĘTOKRZYSKIE,5940.0,uczelnie publiczne,2017
WARMIŃSKO-MAZURSKIE,7952.0,uczelnie publiczne,2017
WIELKOPOLSKIE,28707.0,uczelnie publiczne,2017
ZACHODNIOPOMORSKIE,10045.0,uczelnie publiczne,2017
DOLNOŚLĄSKIE,23772.0,uczelnie publiczne,2018
KUJAWSKO-POMORSKIE,9649.0,uczelnie publiczne,2018
LUBELSKIE,13953.0,uczelnie publiczne,2018
LUBUSKIE,3020.0,uczelnie publiczne,2018
ŁÓDZKIE,14176.0,uczelnie publiczne,2018
MAŁOPOLSKIE,37721.0,uczelnie publiczne,2018
MAZOWIECKIE,41594.0,uczelnie publiczne,2018
OPOLSKIE,4788.0,uczelnie publiczne,2018
PODKARPACKIE,11360.0,uczelnie publiczne,2018
PODLASKIE,7848.0,uczelnie publiczne,2018
POMORSKIE,15886.0,uczelnie publiczne,2018
ŚLĄSKIE,23114.0,uczelnie publiczne,2018
ŚWIĘTOKRZYSKIE,5094.0,uczelnie publiczne,2018
WARMIŃSKO-MAZURSKIE,6770.0,uczelnie publiczne,2018
WIELKOPOLSKIE,24133.0,uczelnie publiczne,2018
ZACHODNIOPOMORSKIE,8192.0,uczelnie publiczne,2018
DOLNOŚLĄSKIE,24157.0,uczelnie publiczne,2019
KUJAWSKO-POMORSKIE,9457.0,uczelnie publiczne,2019
LUBELSKIE,12936.0,uczelnie publiczne,2019
LUBUSKIE,2992.0,uczelnie publiczne,2019
ŁÓDZKIE,13219.0,uczelnie publiczne,2019
MAŁOPOLSKIE,35625.0,uczelnie publiczne,2019
MAZOWIECKIE,40465.0,uczelnie publiczne,2019
OPOLSKIE,4646.0,uczelnie publiczne,2019
PODKARPACKIE,11024.0,uczelnie publiczne,2019
PODLASKIE,7319.0,uczelnie publiczne,2019
POMORSKIE,15371.0,uczelnie publiczne,2019
ŚLĄSKIE,21297.0,uczelnie publiczne,2019
ŚWIĘTOKRZYSKIE,4084.0,uczelnie publiczne,2019
WARMIŃSKO-MAZURSKIE,6484.0,uczelnie publiczne,2019
WIELKOPOLSKIE,22203.0,uczelnie publiczne,2019
ZACHODNIOPOMORSKIE,7210.0,uczelnie publiczne,2019
DOLNOŚLĄSKIE,22304.0,uczelnie publiczne,2020
KUJAWSKO-POMORSKIE,8104.0,uczelnie publiczne,2020
LUBELSKIE,12187.0,uczelnie publiczne,2020
LUBUSKIE,2932.0,uczelnie publiczne,2020
ŁÓDZKIE,11813.0,uczelnie publiczne,2020
MAŁOPOLSKIE,31469.0,uczelnie publiczne,2020
MAZOWIECKIE,37119.0,uczelnie publiczne,2020
OPOLSKIE,3929.0,uczelnie publiczne,2020
PODKARPACKIE,10665.0,uczelnie publiczne,2020
PODLASKIE,6573.0,uczelnie publiczne,2020
POMORSKIE,14186.0,uczelnie publiczne,2020
ŚLĄSKIE,19230.0,uczelnie publiczne,2020
ŚWIĘTOKRZYSKIE,3780.0,uczelnie publiczne,2020
WARMIŃSKO-MAZURSKIE,6024.0,uczelnie publiczne,2020
WIELKOPOLSKIE,20891.0,uczelnie publiczne,2020
ZACHODNIOPOMORSKIE,6449.0,uczelnie publiczne,2020
DOLNOŚLĄSKIE,21764.0,uczelnie publiczne,2021
KUJAWSKO-POMORSKIE,8185.0,uczelnie publiczne,2021
LUBELSKIE,12304.0,uczelnie publiczne,2021
LUBUSKIE,2718.0,uczelnie publiczne,2021
ŁÓDZKIE,12504.0,uczelnie publiczne,2021
MAŁOPOLSKIE,31638.0,uczelnie publiczne,2021
MAZOWIECKIE,36449.0,uczelnie publiczne,2021
OPOLSKIE,4033.0,uczelnie publiczne,2021
PODKARPACKIE,10481.0,uczelnie publiczne,2021
PODLASKIE,6309.0,uczelnie publiczne,2021
POMORSKIE,14123.0,uczelnie publiczne,2021
ŚLĄSKIE,19222.0,uczelnie publiczne,2021
ŚWIĘTOKRZYSKIE,3762.0,uczelnie publiczne,2021
WARMIŃSKO-MAZURSKIE,5735.0,uczelnie publiczne,2021
WIELKOPOLSKIE,20834.0,uczelnie publiczne,2021
ZACHODNIOPOMORSKIE,6466.0,uczelnie publiczne,2021
DOLNOŚLĄSKIE,20698.0,uczelnie publiczne,2022
KUJAWSKO-POMORSKIE,7799.0,uczelnie publiczne,2022
LUBELSKIE,12326.0,uczelnie publiczne,2022
LUBUSKIE,2709.0,uczelnie publiczne,2022
ŁÓDZKIE,11453.0,uczelnie publiczne,2022
MAŁOPOLSKIE,30667.0,uczelnie publiczne,2022
MAZOWIECKIE,32988.0,uczelnie publiczne,2022
OPOLSKIE,4143.0,uczelnie publiczne,2022
PODKARPACKIE,10202.0,uczelnie publiczne,2022
PODLASKIE,5957.0,uczelnie publiczne,2022
POMORSKIE,13066.0,uczelnie publiczne,2022
ŚLĄSKIE,19011.0,uczelnie publiczne,2022
ŚWIĘTOKRZYSKIE,3521.0,uczelnie publiczne,2022
WARMIŃSKO-MAZURSKIE,5302.0,uczelnie publiczne,2022
WIELKOPOLSKIE,19925.0,uczelnie publiczne,2022
ZACHODNIOPOMORSKIE,6209.0,uczelnie publiczne,2022
DOLNOŚLĄSKIE,19380.0,uczelnie publiczne,2023
KUJAWSKO-POMORSKIE,7672.0,uczelnie publiczne,2023
LUBELSKIE,11789.0,uczelnie publiczne,2023
LUBUSKIE,2710.0,uczelnie publiczne,2023
ŁÓDZKIE,11190.0,uczelnie publiczne,2023
MAŁOPOLSKIE,29842.0,uczelnie publiczne,2023
MAZOWIECKIE,32172.0,uczelnie publiczne,2023
OPOLSKIE,3636.0,uczelnie publiczne,2023
PODKARPACKIE,9605.0,uczelnie publiczne,2023
PODLASKIE,5986.0,uczelnie publiczne,2023
POMORSKIE,12513.0,uczelnie publiczne,2023
ŚLĄSKIE,18358.0,uczelnie publiczne,2023
ŚWIĘTOKRZYSKIE,3725.0,uczelnie publiczne,2023
WARMIŃSKO-MAZURSKIE,4923.0,uczelnie publiczne,2023
WIELKOPOLSKIE,19324.0,uczelnie publiczne,2023
ZACHODNIOPOMORSKIE,5896.0,uczelnie publiczne,2023
DOLNOŚLĄSKIE,18558.0,uczelnie publiczne,2024
KUJAWSKO-POMORSKIE,7205.0,uczelnie publiczne,2024
LUBELSKIE,11279.0,uczelnie publiczne,2024
LUBUSKIE,2551.0,uczelnie publiczne,2024
ŁÓDZKIE,11017.0,uczelnie publiczne,2024
MAŁOPOLSKIE,29280.0,uczelnie publiczne,2024
MAZOWIECKIE,31296.0,uczelnie publiczne,2024
OPOLSKIE,3626.0,uczelnie publiczne,2024
PODKARPACKIE,9258.0,uczelnie publiczne,2024
PODLASKIE,5968.0,uczelnie publiczne,2024
POMORSKIE,12069.0,uczelnie publiczne,2024
ŚLĄSKIE,18304.0,uczelnie publiczne,2024
ŚWIĘTOKRZYSKIE,3465.0,uczelnie publiczne,2024
WARMIŃSKO-MAZURSKIE,4779.0,uczelnie publiczne,2024
WIELKOPOLSKIE,18792.0,uczelnie publiczne,2024
ZACHODNIOPOMORSKIE,5883.0,uczelnie publiczne,2024
DOLNOŚLĄSKIE,,uczelnie niepubliczne,2014
KUJAWSKO-POMORSKIE,,uczelnie niepubliczne,2014
LUBELSKIE,,uczelnie niepubliczne,2014
LUBUSKIE,,uczelnie niepubliczne,2014
ŁÓDZKIE,,uczelnie niepubliczne,2014
MAŁOPOLSKIE,,uczelnie niepubliczne,2014
MAZOWIECKIE,,uczelnie niepubliczne,2014
OPOLSKIE,,uczelnie niepubliczne,2014
PODKARPACKIE,,uczelnie niepubliczne,2014
PODLASKIE,,uczelnie niepubliczne,2014
POMORSKIE,,uczelnie niepubliczne,2014
ŚLĄSKIE,,uczelnie niepubliczne,2014
ŚWIĘTOKRZYSKIE,,uczelnie niepubliczne,2014
WARMIŃSKO-MAZURSKIE,,uczelnie niepubliczne,2014
WIELKOPOLSKIE,,uczelnie niepubliczne,2014
ZACHODNIOPOMORSKIE,,uczelnie niepubliczne,2014
DOLNOŚLĄSKIE,8756.0,uczelnie niepubliczne,2015
KUJAWSKO-POMORSKIE,5012.0,uczelnie niepubliczne,2015
LUBELSKIE,7406.0,uczelnie niepubliczne,2015
LUBUSKIE,252.0,uczelnie niepubliczne,2015
ŁÓDZKIE,5366.0,uczelnie niepubliczne,2015
MAŁOPOLSKIE,9246.0,uczelnie niepubliczne,2015
MAZOWIECKIE,24921.0,uczelnie niepubliczne,2015
OPOLSKIE,1747.0,uczelnie niepubliczne,2015
PODKARPACKIE,5518.0,uczelnie niepubliczne,2015
PODLASKIE,2314.0,uczelnie niepubliczne,2015
POMORSKIE,6543.0,uczelnie niepubliczne,2015
ŚLĄSKIE,10925.0,uczelnie niepubliczne,2015
ŚWIĘTOKRZYSKIE,3555.0,uczelnie niepubliczne,2015
WARMIŃSKO-MAZURSKIE,1956.0,uczelnie niepubliczne,2015
WIELKOPOLSKIE,9952.0,uczelnie niepubliczne,2015
ZACHODNIOPOMORSKIE,2547.0,uczelnie niepubliczne,2015
DOLNOŚLĄSKIE,7842.0,uczelnie niepubliczne,2016
KUJAWSKO-POMORSKIE,4859.0,uczelnie niepubliczne,2016
LUBELSKIE,6050.0,uczelnie niepubliczne,2016
LUBUSKIE,122.0,uczelnie niepubliczne,2016
ŁÓDZKIE,4541.0,uczelnie niepubliczne,2016
MAŁOPOLSKIE,7210.0,uczelnie niepubliczne,2016
MAZOWIECKIE,22504.0,uczelnie niepubliczne,2016
OPOLSKIE,1561.0,uczelnie niepubliczne,2016
PODKARPACKIE,4735.0,uczelnie niepubliczne,2016
PODLASKIE,1567.0,uczelnie niepubliczne,2016
POMORSKIE,5971.0,uczelnie niepubliczne,2016
ŚLĄSKIE,8245.0,uczelnie niepubliczne,2016
ŚWIĘTOKRZYSKIE,2379.0,uczelnie niepubliczne,2016
WARMIŃSKO-MAZURSKIE,1514.0,uczelnie niepubliczne,2016
WIELKOPOLSKIE,8346.0,uczelnie niepubliczne,2016
ZACHODNIOPOMORSKIE,2272.0,uczelnie niepubliczne,2016
DOLNOŚLĄSKIE,8160.0,uczelnie niepubliczne,2017
KUJAWSKO-POMORSKIE,5648.0,uczelnie niepubliczne,2017
LUBELSKIE,5831.0,uczelnie niepubliczne,2017
LUBUSKIE,159.0,uczelnie niepubliczne,2017
ŁÓDZKIE,4578.0,uczelnie niepubliczne,2017
MAŁOPOLSKIE,7089.0,uczelnie niepubliczne,2017
MAZOWIECKIE,22017.0,uczelnie niepubliczne,2017
OPOLSKIE,1518.0,uczelnie niepubliczne,2017
PODKARPACKIE,4148.0,uczelnie niepubliczne,2017
PODLASKIE,1569.0,uczelnie niepubliczne,2017
POMORSKIE,6393.0,uczelnie niepubliczne,2017
ŚLĄSKIE,8990.0,uczelnie niepubliczne,2017
ŚWIĘTOKRZYSKIE,2702.0,uczelnie niepubliczne,2017
WARMIŃSKO-MAZURSKIE,1623.0,uczelnie niepubliczne,2017
WIELKOPOLSKIE,7893.0,uczelnie niepubliczne,2017
ZACHODNIOPOMORSKIE,1812.0,uczelnie niepubliczne,2017
DOLNOŚLĄSKIE,6492.0,uczelnie niepubliczne,2018
KUJAWSKO-POMORSKIE,4588.0,uczelnie niepubliczne,2018
LUBELSKIE,4955.0,uczelnie niepubliczne,2018
LUBUSKIE,156.0,uczelnie niepubliczne,2018
ŁÓDZKIE,4364.0,uczelnie niepubliczne,2018
MAŁOPOLSKIE,5853.0,uczelnie niepubliczne,2018
MAZOWIECKIE,19201.0,uczelnie niepubliczne,2018
OPOLSKIE,1260.0,uczelnie niepubliczne,2018
PODKARPACKIE,3457.0,uczelnie niepubliczne,2018
PODLASKIE,1045.0,uczelnie niepubliczne,2018
POMORSKIE,5768.0,uczelnie niepubliczne,2018
ŚLĄSKIE,7802.0,uczelnie niepubliczne,2018
ŚWIĘTOKRZYSKIE,2015.0,uczelnie niepubliczne,2018
WARMIŃSKO-MAZURSKIE,1492.0,uczelnie niepubliczne,2018
WIELKOPOLSKIE,6562.0,uczelnie niepubliczne,2018
ZACHODNIOPOMORSKIE,1280.0,uczelnie niepubliczne,2018
DOLNOŚLĄSKIE,7079.0,uczelnie niepubliczne,2019
KUJAWSKO-POMORSKIE,4472.0,uczelnie niepubliczne,2019
LUBELSKIE,5308.0,uczelnie niepubliczne,2019
LUBUSKIE,97.0,uczelnie niepubliczne,2019
ŁÓDZKIE,3957.0,uczelnie niepubliczne,2019
MAŁOPOLSKIE,5321.0,uczelnie niepubliczne,2019
MAZOWIECKIE,17793.0,uczelnie niepubliczne,2019
OPOLSKIE,1088.0,uczelnie niepubliczne,2019
PODKARPACKIE,3021.0,uczelnie niepubliczne,2019
PODLASKIE,1064.0,uczelnie niepubliczne,2019
POMORSKIE,5936.0,uczelnie niepubliczne,2019
ŚLĄSKIE,8400.0,uczelnie niepubliczne,2019
ŚWIĘTOKRZYSKIE,2649.0,uczelnie niepubliczne,2019
WARMIŃSKO-MAZURSKIE,1256.0,uczelnie niepubliczne,2019
WIELKOPOLSKIE,6091.0,uczelnie niepubliczne,2019
ZACHODNIOPOMORSKIE,1587.0,uczelnie niepubliczne,2019
