region,rok,bezrobotni_w_liczbie_ludności_w_wieku_produkcyjnym,ogółem
DOLNOŚLĄSKIE,2006,,86092.0
DOLNOŚLĄSKIE,2007,,51601.0
DOLNOŚLĄSKIE,2008,,33312.0
DOLNOŚLĄSKIE,2009,,33675.0
DOLNOŚLĄSKIE,2010,,39469.0
DOLNOŚLĄSKIE,2011,,46362.0
DOLNOŚLĄSKIE,2012,,50198.0
DOLNOŚLĄSKIE,2013,,54402.0
DOLNOŚLĄSKIE,2014,2.6,47406.0
DOLNOŚLĄSKIE,2015,2.0,35991.0
DOLNOŚLĄSKIE,2016,1.8,31528.0
DOLNOŚLĄSKIE,2017,1.5,25782.0
DOLNOŚLĄSKIE,2018,1.3,23385.0
DOLNOŚLĄSKIE,2019,1.2,20534.0
DOLNOŚLĄSKIE,2020,1.5,25490.0
DOLNOŚLĄSKIE,2021,1.6,26914.0
DOLNOŚLĄSKIE,2022,1.2,21111.0
DOLNOŚLĄSKIE,2023,1.2,20237.0
DOLNOŚLĄSKIE,2024,1.2,20513.0
DOLNOŚLĄSKIE,2025,,23284.0
KUJAWSKO-POMORSKIE,2006,,78618.0
KUJAWSKO-POMORSKIE,2007,,55711.0
KUJAWSKO-POMORSKIE,2008,,38853.0
KUJAWSKO-POMORSKIE,2009,,38300.0
KUJAWSKO-POMORSKIE,2010,,41897.0
KUJAWSKO-POMORSKIE,2011,,51481.0
KUJAWSKO-POMORSKIE,2012,,55718.0
KUJAWSKO-POMORSKIE,2013,,59956.0
KUJAWSKO-POMORSKIE,2014,4.1,53700.0
KUJAWSKO-POMORSKIE,2015,3.3,42768.0
KUJAWSKO-POMORSKIE,2016,3.2,41276.0
KUJAWSKO-POMORSKIE,2017,2.9,36869.0
KUJAWSKO-POMORSKIE,2018,2.5,32041.0
KUJAWSKO-POMORSKIE,2019,2.1,26520.0
KUJAWSKO-POMORSKIE,2020,2.7,32174.0
KUJAWSKO-POMORSKIE,2021,2.7,31727.0
KUJAWSKO-POMORSKIE,2022,2.0,23785.0
KUJAWSKO-POMORSKIE,2023,1.9,21574.0
KUJAWSKO-POMORSKIE,2024,1.9,22410.0
KUJAWSKO-POMORSKIE,2025,,24366.0
LUBELSKIE,2006,,74349.0
LUBELSKIE,2007,,57679.0
LUBELSKIE,2008,,40540.0
LUBELSKIE,2009,,37238.0
LUBELSKIE,2010,,38575.0
LUBELSKIE,2011,,48560.0
LUBELSKIE,2012,,54007.0
LUBELSKIE,2013,,59216.0
LUBELSKIE,2014,4.0,54177.0
LUBELSKIE,2015,3.5,47067.0
LUBELSKIE,2016,3.3,43357.0
LUBELSKIE,2017,2.8,35740.0
