region,wynagrodzenie,rok
DOLNOŚLĄSKIE,"4042,86",2014
KUJAWSKO-POMORSKIE,"3439,06",2014
LUBELSKIE,"3605,03",2014
LUBUSKIE,"3425,38",2014
ŁÓDZKIE,"3618,63",2014
MAŁOPOLSKIE,"3700,06",2014
MAZOWIECKIE,"4927,34",2014
OPOLSKIE,"3632,84",2014
PODKARPACKIE,"3412,30",2014
PODLASKIE,"3530,17",2014
POMORSKIE,"4011,59",2014
ŚLĄSKIE,"4100,51",2014
ŚWIĘTOKRZYSKIE,"3435,93",2014
WARMIŃSKO-MAZURSKIE,"3386,96",2014
WIELKOPOLSKIE,"3597,69",2014
ZACHODNIOPOMORSKIE,"3649,27",2014
DOLNOŚLĄSKIE,"4204,24",2015
KUJAWSKO-POMORSKIE,"3540,25",2015
LUBELSKIE,"3699,48",2015
LUBUSKIE,"3567,60",2015
ŁÓDZKIE,"3790,76",2015
MAŁOPOLSKIE,"3906,96",2015
MAZOWIECKIE,"5098,55",2015
OPOLSKIE,"3793,28",2015
PODKARPACKIE,"3527,62",2015
PODLASKIE,"3647,08",2015
POMORSKIE,"4132,13",2015
ŚLĄSKIE,"4221,45",2015
ŚWIĘTOKRZYSKIE,"3580,62",2015
WARMIŃSKO-MAZURSKIE,"3495,02",2015
WIELKOPOLSKIE,"3723,69",2015
ZACHODNIOPOMORSKIE,"3793,68",2015
DOLNOŚLĄSKIE,"4385,84",2016
KUJAWSKO-POMORSKIE,"3672,98",2016
LUBELSKIE,"3815,95",2016
LUBUSKIE,"3734,90",2016
ŁÓDZKIE,"3925,10",2016
MAŁOPOLSKIE,"4077,91",2016
MAZOWIECKIE,"5240,86",2016
OPOLSKIE,"3927,04",2016
PODKARPACKIE,"3653,67",2016
PODLASKIE,"3767,20",2016
POMORSKIE,"4274,73",2016
ŚLĄSKIE,"4295,29",2016
ŚWIĘTOKRZYSKIE,"3669,57",2016
WARMIŃSKO-MAZURSKIE,"3619,16",2016
WIELKOPOLSKIE,"3894,10",2016
ZACHODNIOPOMORSKIE,"3946,28",2016
DOLNOŚLĄSKIE,"4654,51",2017
KUJAWSKO-POMORSKIE,"3886,20",2017
LUBELSKIE,"4020,25",2017
LUBUSKIE,"3950,95",2017
ŁÓDZKIE,"4141,94",2017
MAŁOPOLSKIE,"4347,10",2017
MAZOWIECKIE,"5523,65",2017
OPOLSKIE,"4144,91",2017
PODKARPACKIE,"3837,17",2017
PODLASKIE,"4005,94",2017
POMORSKIE,"4496,64",2017
ŚLĄSKIE,"4481,57",2017
ŚWIĘTOKRZYSKIE,"3911,49",2017
WARMIŃSKO-MAZURSKIE,"3802,98",2017
WIELKOPOLSKIE,"4124,13",2017
ZACHODNIOPOMORSKIE,"4154,25",2017
DOLNOŚLĄSKIE,"4942,39",2018
KUJAWSKO-POMORSKIE,"4139,21",2018
LUBELSKIE,"4260,71",2018
LUBUSKIE,"4239,92",2018
ŁÓDZKIE,"4441,29",2018
MAŁOPOLSKIE,"4678,95",2018
MAZOWIECKIE,"5888,90",2018
OPOLSKIE,"4379,25",2018
PODKARPACKIE,"4089,81",2018
PODLASKIE,"4264,04",2018
POMORSKIE,"4794,74",2018
ŚLĄSKIE,"4825,28",2018
ŚWIĘTOKRZYSKIE,"4171,17",2018
WARMIŃSKO-MAZURSKIE,"4028,33",2018
WIELKOPOLSKIE,"4382,96",2018
ZACHODNIOPOMORSKIE,"4431,95",2018
DOLNOŚLĄSKIE,"5323,55",2019
KUJAWSKO-POMORSKIE,"4494,37",2019
LUBELSKIE,"4564,85",2019
LUBUSKIE,"4559,96",2019
ŁÓDZKIE,"4790,10",2019
MAŁOPOLSKIE,"5098,26",2019
MAZOWIECKIE,"6248,47",2019
OPOLSKIE,"4712,47",2019
PODKARPACKIE,"4388,16",2019
PODLASKIE,"4575,88",2019
POMORSKIE,"5142,01",2019
ŚLĄSKIE,"5177,86",2019
ŚWIĘTOKRZYSKIE,"4490,41",2019
WARMIŃSKO-MAZURSKIE,"4319,51",2019
WIELKOPOLSKIE,"4687,39",2019
ZACHODNIOPOMORSKIE,"4769,71",2019
DOLNOŚLĄSKIE,"5693,69",2020
KUJAWSKO-POMORSKIE,"4831,73",2020
LUBELSKIE,"4914,95",2020
LUBUSKIE,"4832,07",2020
ŁÓDZKIE,"5148,38",2020
MAŁOPOLSKIE,"5536,07",2020
MAZOWIECKIE,"6581,81",2020
OPOLSKIE,"5078,51",2020
PODKARPACKIE,"4707,81",2020
PODLASKIE,"4929,64",2020
POMORSKIE,"5484,46",2020
ŚLĄSKIE,"5450,86",2020
ŚWIĘTOKRZYSKIE,"4800,21",2020
WARMIŃSKO-MAZURSKIE,"4709,12",2020
WIELKOPOLSKIE,"4985,75",2020
ZACHODNIOPOMORSKIE,"5099,49",2020
DOLNOŚLĄSKIE,"6242,88",2021
KUJAWSKO-POMORSKIE,"5286,83",2021
LUBELSKIE,"5318,68",2021
LUBUSKIE,"5286,50",2021
ŁÓDZKIE,"5622,29",2021
MAŁOPOLSKIE,"6046,95",2021
MAZOWIECKIE,"7108,20",2021
OPOLSKIE,"5492,82",2021
PODKARPACKIE,"5172,11",2021
PODLASKIE,"5412,89",2021
POMORSKIE,"5994,33",2021
ŚLĄSKIE,"5907,84",2021
ŚWIĘTOKRZYSKIE,"5262,19",2021
WARMIŃSKO-MAZURSKIE,"5126,75",2021
WIELKOPOLSKIE,"5379,43",2021
ZACHODNIOPOMORSKIE,"5549,85",2021
DOLNOŚLĄSKIE,"6945,01",2022
KUJAWSKO-POMORSKIE,"5888,55",2022
LUBELSKIE,"5909,60",2022
LUBUSKIE,"6014,38",2022
ŁÓDZKIE,"6210,68",2022
MAŁOPOLSKIE,"6824,68",2022
MAZOWIECKIE,"7913,14",2022
OPOLSKIE,"6134,18",2022
PODKARPACKIE,"5662,53",2022
PODLASKIE,"6012,94",2022
POMORSKIE,"6696,84",2022
ŚLĄSKIE,"6727,57",2022
ŚWIĘTOKRZYSKIE,"5782,60",2022
WARMIŃSKO-MAZURSKIE,"5674,89",2022
WIELKOPOLSKIE,"6019,68",2022
ZACHODNIOPOMORSKIE,"6169,94",2022
DOLNOŚLĄSKIE,"7850,30",2023
KUJAWSKO-POMORSKIE,"6721,48",2023
LUBELSKIE,"6774,52",2023
LUBUSKIE,"6882,46",2023
ŁÓDZKIE,"7052,93",2023
MAŁOPOLSKIE,"7736,56",2023
MAZOWIECKIE,"8928,60",2023
OPOLSKIE,"6975,81",2023
PODKARPACKIE,"6436,15",2023
PODLASKIE,"6805,04",2023
POMORSKIE,"7550,99",2023
ŚLĄSKIE,"7611,38",2023
ŚWIĘTOKRZYSKIE,"6585,16",2023
WARMIŃSKO-MAZURSKIE,"6447,09",2023
WIELKOPOLSKIE,"6772,06",2023
ZACHODNIOPOMORSKIE,"7007,40",2023
DOLNOŚLĄSKIE,"8867,46",2024
KUJAWSKO-POMORSKIE,"7710,78",2024
LUBELSKIE,"7771,05",2024
LUBUSKIE,"7887,19",2024
ŁÓDZKIE,"8096,32",2024
MAŁOPOLSKIE,"8818,71",2024
MAZOWIECKIE,"10018,71",2024
OPOLSKIE,"7958,35",2024
PODKARPACKIE,"7514,69",2024
PODLASKIE,"7850,16",2024
POMORSKIE,"8620,28",2024
ŚLĄSKIE,"8537,54",2024
ŚWIĘTOKRZYSKIE,"7664,18",2024
WARMIŃSKO-MAZURSKIE,"7529,41",2024
WIELKOPOLSKIE,"7759,22",2024
ZACHODNIOPOMORSKIE,"8027,37",2024
