"Kod";"Nazwa";"ogółem;2000;[zł]";"ogółem;2001;[zł]";"ogółem;2002;[zł]";"ogółem;2003;[zł]";"ogółem;2004;[zł]";"ogółem;2005;[zł]";"ogółem;2006;[zł]";"ogółem;2007;[zł]";"ogółem;2008;[zł]";"ogółem;2009;[zł]";"ogółem;2010;[zł]";"ogółem;2011;[zł]";"ogółem;2012;[zł]";"ogółem;2013;[zł]";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";"ogółem;2019;[zł]";"ogółem;2020;[zł]";"ogółem;2021;[zł]";"ogółem;2022;[zł]";"ogółem;2023;[zł]";"ogółem;2024;[zł]";
0200000;"DOLNOŚLĄSKIE";3492;3786;3293;3129;3600;3970;5076;6044;6420;6519;6155;6916;6729;7092;7602;7800;7562;8358;9960;11590;10333;10468;11641;12212;11637;
0400000;"KUJAWSKO-POMORSKIE";2318;2291;2312;2140;2251;2622;2981;3924;4817;5375;5064;5392;4561;4434;5310;6692;4338;4736;5851;5848;6361;7072;8456;9273;8909;
0600000;"LUBELSKIE";1819;1684;1572;1637;1841;1992;2261;2803;3526;3673;3799;4751;4543;4509;4887;4837;3517;4145;5361;6040;6178;6287;6994;8839;8621;
0800000;"LUBUSKIE";2604;2558;2455;2564;2727;3287;3537;4529;4382;4380;7329;7810;5644;5168;4712;5762;5573;5426;6207;6252;5992;8041;8830;12130;10402;
1000000;"ŁÓDZKIE";2501;2577;2274;2364;2798;3490;3889;5413;5792;5250;5382;6641;7165;6680;6469;6980;5744;5792;6723;7435;7026;7666;8701;10666;9139;
1200000;"MAŁOPOLSKIE";2931;2462;2558;2856;2834;3082;3967;4631;4905;4526;4811;5431;5468;5231;5554;6277;5430;5669;6627;7114;7029;7887;9255;10186;9636;
1400000;"MAZOWIECKIE";8223;7362;5378;5021;5321;5634;6445;8007;9108;8723;8244;8680;8781;8908;10316;10868;10533;10802;12601;13477;12738;14828;17804;20631;20911;
1600000;"OPOLSKIE";2448;2076;1873;2011;2213;2553;2773;3590;3778;4409;4590;4628;4266;4746;5717;8062;8292;6809;7251;7958;6939;7588;9158;11626;11362;
1800000;"PODKARPACKIE";1859;1743;1938;2157;2334;2440;2817;3351;3759;4064;4837;6306;5902;5643;5339;5172;4659;5136;6407;6773;6291;7111;7365;9751;9442;
2000000;"PODLASKIE";1878;1661;1808;2048;2314;2720;3064;3577;4046;3892;4194;5423;4585;4610;5758;5754;4174;5381;6565;7157;7300;8432;10039;11425;10553;
2200000;"POMORSKIE";3347;2734;2810;2654;3050;3370;4036;5616;6310;7903;5753;6118;6496;6031;6574;7277;6882;7399;8372;7336;7411;8485;9497;12138;12336;
2400000;"ŚLĄSKIE";3222;2649;2767;2843;3050;3297;4187;5294;5883;6117;5672;6506;5988;6002;6274;6445;6367;6614;7492;8198;7507;7716;9992;11804;10896;
2600000;"ŚWIĘTOKRZYSKIE";2092;1744;2179;1970;2307;2322;2418;3222;4384;4861;5250;5242;5090;3895;3913;4624;3505;3883;4586;4999;5032;5602;6701;8157;7967;
2800000;"WARMIŃSKO-MAZURSKIE";1845;1742;1889;1994;2157;2735;3312;3770;4140;4101;4503;5334;5190;4275;4634;5587;4941;5075;6572;5882;5981;6925;7894;9023;7741;
3000000;"WIELKOPOLSKIE";3557;3449;3082;3658;3805;3792;4176;4873;5939;5390;5487;6038;6093;5450;6452;7291;6770;6960;7985;8522;7900;8918;10448;11364;10870;
3200000;"ZACHODNIOPOMORSKIE";2903;2520;2300;2381;2907;2831;3835;4102;5332;5034;4816;5092;5741;6249;6091;6383;4719;5917;6940;6695;8965;9462;11667;11682;11426;
