"Kod";"Nazwa";"ogółem;2002;[-]";"ogółem;2003;[-]";"ogółem;2004;[-]";"ogółem;2005;[-]";"ogółem;2006;[-]";"ogółem;2007;[-]";"ogółem;2008;[-]";"ogółem;2009;[-]";"ogółem;2010;[-]";"ogółem;2011;[-]";"ogółem;2012;[-]";"ogółem;2013;[-]";"ogółem;2014;[-]";"ogółem;2015;[-]";"ogółem;2016;[-]";"ogółem;2017;[-]";"ogółem;2018;[-]";"ogółem;2019;[-]";"ogółem;2020;[-]";"ogółem;2021;[-]";"ogółem;2022;[-]";"ogółem;2023;[-]";"ogółem;2024;[-]";
0200000;"DOLNOŚLĄSKIE";1593,7;1635,9;1616,3;1597,2;1597,1;1624,3;1669,9;1673,2;1728,6;1721,4;1785,4;1861,3;1901,3;1958,3;2006,9;2076,6;2140,6;2209,2;2283,9;2397,2;2516,6;2621,6;2723,6;
0400000;"KUJAWSKO-POMORSKIE";1427,8;1462,0;1404,1;1408,5;1404,1;1413,0;1437,5;1360,0;1370,8;1364,2;1398,8;1434,6;1453,0;1477,9;1497,9;1526,8;1561,0;1626,8;1739,2;1812,6;1867,2;1929,6;1995,2;
0600000;"LUBELSKIE";1134,0;1163,4;1114,4;1105,0;1113,0;1117,0;1137,2;1147,4;1191,1;1181,3;1216,7;1255,2;1280,2;1304,1;1324,4;1365,3;1409,5;1463,3;1594,7;1674,2;1751,9;1820,0;1882,9;
0800000;"LUBUSKIE";1499,4;1504,3;1514,1;1547,0;1593,4;1603,9;1533,1;1525,9;1577,2;1560,7;1620,9;1670,7;1692,2;1731,5;1759,5;1800,3;1831,2;1920,3;2047,8;2147,0;2220,9;2302,0;2388,2;
1000000;"ŁÓDZKIE";1428,8;1475,6;1489,3;1515,2;1471,1;1473,7;1486,6;1358,3;1424,6;1424,2;1473,9;1516,6;1544,8;1577,7;1612,3;1654,1;1690,3;1763,4;1866,0;1953,5;2035,0;2106,1;2176,0;
1200000;"MAŁOPOLSKIE";1406,8;1433,3;1423,5;1415,6;1403,8;1415,0;1444,6;1495,8;1561,1;1559,6;1615,9;1655,7;1686,2;1727,8;1769,6;1821,8;1886,8;1984,0;2059,9;2163,7;2263,4;2361,3;2458,9;
1400000;"MAZOWIECKIE";1742,2;1788,8;1802,3;1837,5;1850,8;1895,4;1956,2;1942,6;2034,7;2019,2;2097,3;2183,8;2245,8;2333,5;2418,2;2501,4;2538,5;2671,5;2715,3;2853,6;2993,8;3134,0;3264,2;
1600000;"OPOLSKIE";1275,1;1303,6;1311,8;1337,4;1369,9;1399,9;1420,4;1408,6;1486,2;1470,7;1500,7;1538,7;1555,7;1580,2;1597,5;1622,4;1649,7;1712,2;1829,6;1904,3;1973,1;2037,6;2101,9;
1800000;"PODKARPACKIE";1101,1;1120,8;1083,3;1068,4;1071,6;1073,7;1082,1;1080,8;1123,1;1110,8;1140,3;1177,6;1202,9;1227,6;1254,0;1287,2;1325,1;1385,5;1492,7;1573,6;1641,8;1705,2;1761,8;
2000000;"PODLASKIE";1314,7;1332,8;1238,9;1201,0;1194,3;1185,8;1200,8;1187,9;1201,2;1199,6;1241,0;1270,6;1301,5;1323,5;1343,0;1373,7;1414,5;1468,0;1582,8;1659,4;1735,7;1814,0;1880,5;
2200000;"POMORSKIE";1578,2;1631,1;1591,2;1600,2;1610,3;1629,7;1677,7;1731,6;1771,1;1759,8;1812,6;1868,0;1908,5;1962,5;2011,1;2074,5;2107,6;2193,3;2264,4;2373,5;2476,2;2577,4;2668,4;
2400000;"ŚLĄSKIE";1376,3;1390,3;1403,4;1391,6;1391,3;1400,6;1409,3;1418,9;1494,9;1479,0;1526,9;1568,8;1593,9;1629,4;1657,3;1692,3;1727,6;1788,2;1898,4;1988,3;2063,1;2133,4;2205,0;
2600000;"ŚWIĘTOKRZYSKIE";1268,4;1308,4;1291,9;1301,3;1321,7;1327,4;1344,2;1309,6;1332,5;1305,8;1342,1;1377,2;1393,7;1416,0;1439,5;1474,2;1515,1;1577,2;1713,1;1799,3;1869,9;1931,6;2002,1;
2800000;"WARMIŃSKO-MAZURSKIE";1220,4;1231,4;1201,3;1202,8;1209,1;1223,3;1248,2;1234,8;1252,0;1236,1;1271,8;1306,2;1330,1;1350,3;1370,3;1398,7;1437,5;1513,9;1641,1;1719,3;1781,2;1845,2;1903,3;
3000000;"WIELKOPOLSKIE";1539,6;1574,4;1550,7;1566,0;1579,7;1602,5;1635,9;1622,7;1679,7;1689,4;1748,4;1803,2;1844,8;1883,8;1921,6;1973,0;2025,2;2120,3;2200,9;2296,9;2381,1;2459,2;2541,6;
3200000;"ZACHODNIOPOMORSKIE";1804,8;1834,9;1831,5;1861,4;1880,6;1889,4;1910,0;1929,7;1943,5;1903,9;1940,7;1982,1;2004,3;2043,7;2077,1;2125,8;2164,5;2237,6;2377,8;2471,8;2557,3;2638,8;2714,5;
