"Kod";"Nazwa";"absolwenci;uczelnie publiczne;ogółem;ogółem;ogółem;2014;[osoba]";"absolwenci;uczelnie publiczne;ogółem;ogółem;ogółem;2015;[osoba]";"absolwenci;uczelnie publiczne;ogółem;ogółem;ogółem;2016;[osoba]";"absolwenci;uczelnie publiczne;ogółem;ogółem;ogółem;2017;[osoba]";"absolwenci;uczelnie publiczne;ogółem;ogółem;ogółem;2018;[osoba]";"absolwenci;uczelnie publiczne;ogółem;ogółem;ogółem;2019;[osoba]";"absolwenci;uczelnie publiczne;ogółem;ogółem;ogółem;2020;[osoba]";"absolwenci;uczelnie publiczne;ogółem;ogółem;ogółem;2021;[osoba]";"absolwenci;uczelnie publiczne;ogółem;ogółem;ogółem;2022;[osoba]";"absolwenci;uczelnie publiczne;ogółem;ogółem;ogółem;2023;[osoba]";"absolwenci;uczelnie publiczne;ogółem;ogółem;ogółem;2024;[osoba]";"absolwenci;uczelnie niepubliczne;ogółem;ogółem;ogółem;2014;[osoba]";"absolwenci;uczelnie niepubliczne;ogółem;ogółem;ogółem;2015;[osoba]";"absolwenci;uczelnie niepubliczne;ogółem;ogółem;ogółem;2016;[osoba]";"absolwenci;uczelnie niepubliczne;ogółem;ogółem;ogółem;2017;[osoba]";"absolwenci;uczelnie niepubliczne;ogółem;ogółem;ogółem;2018;[osoba]";"absolwenci;uczelnie niepubliczne;ogółem;ogółem;ogółem;2019;[osoba]";"absolwenci;uczelnie niepubliczne;ogółem;ogółem;ogółem;2020;[osoba]";"absolwenci;uczelnie niepubliczne;ogółem;ogółem;ogółem;2021;[osoba]";"absolwenci;uczelnie niepubliczne;ogółem;ogółem;ogółem;2022;[osoba]";"absolwenci;uczelnie niepubliczne;ogółem;ogółem;ogółem;2023;[osoba]";"absolwenci;uczelnie niepubliczne;ogółem;ogółem;ogółem;2024;[osoba]";
0200000;"DOLNOŚLĄSKIE";;25961;25616;26636;23772;24157;22304;21764;20698;19380;18558;;8756;7842;8160;6492;7079;6587;7963;8317;9662;9590;
0400000;"KUJAWSKO-POMORSKIE";;12578;11352;11437;9649;9457;8104;8185;7799;7672;7205;;5012;4859;5648;4588;4472;4328;4510;4276;5154;5089;
0600000;"LUBELSKIE";;15294;14607;15374;13953;12936;12187;12304;12326;11789;11279;;7406;6050;5831;4955;5308;4934;5143;5349;5350;5867;
0800000;"LUBUSKIE";;4569;4130;3785;3020;2992;2932;2718;2709;2710;2551;;252;122;159;156;97;148;130;173;176;156;
1000000;"ŁÓDZKIE";;16539;14674;16351;14176;13219;11813;12504;11453;11190;11017;;5366;4541;4578;4364;3957;3477;3537;4303;4857;4891;
1200000;"MAŁOPOLSKIE";;41112;41382;46592;37721;35625;31469;31638;30667;29842;29280;;9246;7210;7089;5853;5321;5239;6006;6249;6988;7349;
1400000;"MAZOWIECKIE";;45402;44121;48316;41594;40465;37119;36449;32988;32172;31296;;24921;22504;22017;19201;17793;18871;21253;22716;24085;27383;
1600000;"OPOLSKIE";;6677;5828;6197;4788;4646;3929;4033;4143;3636;3626;;1747;1561;1518;1260;1088;1213;1352;1376;1383;1438;
1800000;"PODKARPACKIE";;13452;13283;12532;11360;11024;10665;10481;10202;9605;9258;;5518;4735;4148;3457;3021;2698;2752;3107;2774;2809;
2000000;"PODLASKIE";;8541;7859;8422;7848;7319;6573;6309;5957;5986;5968;;2314;1567;1569;1045;1064;1282;1024;1051;1445;1180;
2200000;"POMORSKIE";;17884;17387;19801;15886;15371;14186;14123;13066;12513;12069;;6543;5971;6393;5768;5936;6133;6098;6953;8370;8781;
2400000;"ŚLĄSKIE";;27758;25695;29115;23114;21297;19230;19222;19011;18358;18304;;10925;8245;8990;7802;8400;8596;8937;9846;10617;11166;
2600000;"ŚWIĘTOKRZYSKIE";;6224;5628;5940;5094;4084;3780;3762;3521;3725;3465;;3555;2379;2702;2015;2649;1729;1610;1455;1592;1378;
2800000;"WARMIŃSKO-MAZURSKIE";;8258;7671;7952;6770;6484;6024;5735;5302;4923;4779;;1956;1514;1623;1492;1256;1527;1302;1259;1177;1338;
3000000;"WIELKOPOLSKIE";;28110;25828;28707;24133;22203;20891;20834;19925;19324;18792;;9952;8346;7893;6562;6091;7041;7189;8166;7813;8391;
3200000;"ZACHODNIOPOMORSKIE";;10612;9620;10045;8192;7210;6449;6466;6209;5896;5883;;2547;2272;1812;1280;1587;1662;1768;1762;1651;1541;
