"Kod";"Nazwa";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";"ogółem;2019;[zł]";"ogółem;2020;[zł]";"ogółem;2021;[zł]";"ogółem;2022;[zł]";"ogółem;2023;[zł]";"ogółem;2024;[zł]";
0200000;"DOLNOŚLĄSKIE";4042,86;4204,24;4385,84;4654,51;4942,39;5323,55;5693,69;6242,88;6945,01;7850,30;8867,46;
0400000;"KUJAWSKO-POMORSKIE";3439,06;3540,25;3672,98;3886,20;4139,21;4494,37;4831,73;5286,83;5888,55;6721,48;7710,78;
0600000;"LUBELSKIE";3605,03;3699,48;3815,95;4020,25;4260,71;4564,85;4914,95;5318,68;5909,60;6774,52;7771,05;
0800000;"LUBUSKIE";3425,38;3567,60;3734,90;3950,95;4239,92;4559,96;4832,07;5286,50;6014,38;6882,46;7887,19;
1000000;"ŁÓDZKIE";3618,63;3790,76;3925,10;4141,94;4441,29;4790,10;5148,38;5622,29;6210,68;7052,93;8096,32;
1200000;"MAŁOPOLSKIE";3700,06;3906,96;4077,91;4347,10;4678,95;5098,26;5536,07;6046,95;6824,68;7736,56;8818,71;
1400000;"MAZOWIECKIE";4927,34;5098,55;5240,86;5523,65;5888,90;6248,47;6581,81;7108,20;7913,14;8928,60;10018,71;
1600000;"OPOLSKIE";3632,84;3793,28;3927,04;4144,91;4379,25;4712,47;5078,51;5492,82;6134,18;6975,81;7958,35;
1800000;"PODKARPACKIE";3412,30;3527,62;3653,67;3837,17;4089,81;4388,16;4707,81;5172,11;5662,53;6436,15;7514,69;
2000000;"PODLASKIE";3530,17;3647,08;3767,20;4005,94;4264,04;4575,88;4929,64;5412,89;6012,94;6805,04;7850,16;
2200000;"POMORSKIE";4011,59;4132,13;4274,73;4496,64;4794,74;5142,01;5484,46;5994,33;6696,84;7550,99;8620,28;
2400000;"ŚLĄSKIE";4100,51;4221,45;4295,29;4481,57;4825,28;5177,86;5450,86;5907,84;6727,57;7611,38;8537,54;
2600000;"ŚWIĘTOKRZYSKIE";3435,93;3580,62;3669,57;3911,49;4171,17;4490,41;4800,21;5262,19;5782,60;6585,16;7664,18;
2800000;"WARMIŃSKO-MAZURSKIE";3386,96;3495,02;3619,16;3802,98;4028,33;4319,51;4709,12;5126,75;5674,89;6447,09;7529,41;
3000000;"WIELKOPOLSKIE";3597,69;3723,69;3894,10;4124,13;4382,96;4687,39;4985,75;5379,43;6019,68;6772,06;7759,22;
3200000;"ZACHODNIOPOMORSKIE";3649,27;3793,68;3946,28;4154,25;4431,95;4769,71;5099,49;5549,85;6169,94;7007,40;8027,37;
